Ticker SYMBOL,產業類別,產業類別名稱,資料年月,單月營收年增率(%)
3714.TW,26,26,2026-02,-17.01
3715.TW,28,28,2026-02,23.08
3716.TW,22,22,2026-02,-7.15
4104.TW,22,22,2026-02,-3.44
4106.TW,22,22,2026-02,10.6
4108.TW,22,22,2026-02,4.99
4119.TW,22,22,2026-02,39.94
4133.TW,22,22,2026-02,-12.42
4137.TW,22,22,2026-02,-32.92
4142.TW,22,22,2026-02,-19.67
4148.TW,22,22,2026-02,10.84
4155.TW,22,22,2026-02,10.83
4164.TW,22,22,2026-02,22.75
4190.TW,22,22,2026-02,-22.9
4306.TW,3,3,2026-02,-17.57
4414.TW,4,4,2026-02,-6.98
4426.TW,4,4,2026-02,-33.72
4438.TW,4,4,2026-02,-6.56
4439.TW,4,4,2026-02,-24.58
4440.TW,4,4,2026-02,-0.08
4441.TW,4,4,2026-02,15.59
4526.TW,5,5,2026-02,-29.48
4532.TW,5,5,2026-02,-11.04
4536.TW,37,37,2026-02,-19.84
4540.TW,5,5,2026-02,34.44
4545.TW,28,28,2026-02,-7.46
4551.TW,12,12,2026-02,11.7
4552.TW,5,5,2026-02,-20.93
4555.TW,5,5,2026-02,5.09
4557.TW,12,12,2026-02,-33.27
4560.TW,5,5,2026-02,-6.59
4562.TW,5,5,2026-02,-40.48
4564.TW,5,5,2026-02,-27.36
4566.TW,5,5,2026-02,-2.8
4569.TW,12,12,2026-02,-10.88
4571.TW,5,5,2026-02,-6.77
4572.TW,5,5,2026-02,24.46
4576.TW,5,5,2026-02,22.0
4581.TW,12,12,2026-02,5.96
4583.TW,5,5,2026-02,-9.01
4585.TW,31,31,2026-02,-11.64
4588.TW,31,31,2026-02,-83.73
4590.TW,5,5,2026-02,-16.3
4720.TW,21,21,2026-02,-20.55
4722.TW,21,21,2026-02,-20.72
4736.TW,22,22,2026-02,-15.64
4737.TW,22,22,2026-02,-28.95
4739.TW,21,21,2026-02,192.15
4746.TW,22,22,2026-02,-20.47
4755.TW,21,21,2026-02,-16.1
4763.TW,21,21,2026-02,-47.65
4764.TW,21,21,2026-02,25.59
4766.TW,21,21,2026-02,-14.66
4770.TW,21,21,2026-02,-31.06
4771.TW,22,22,2026-02,21.32
4807.TW,18,18,2026-02,8.29
4904.TW,27,27,2026-02,5.09
4906.TW,27,27,2026-02,-45.63
